agree,يُوَافِقُ,hold;jibe;concord
dust,غُبَار,junk;debris;dot
emit,يُصْدِرُ,give out;utter;let out
enable,يُمَكِّنُ,enable
grind,يَطْحَنُ,dweeb;swot;crunch
heal,يَشْفِي,bring around;mend;cure
integrate,يَدْمُجُ,mix;desegregate;incorporate
leading,رَائِد,moderate;in the lead;lead
moreover,عِلَاوَةً عَلَى ذَلِكَ,furthermore;what is more
object,يَعْتَرِضُ,aim;target;objective
pollutant,مُلَوِّث,pollutant
powder,مَسْحُوق,powderize;pulverize;pulverise
prompt,يَحُثُّ,actuate;propel;quick
reject,يَرْفُضُ,pass up;eliminate;turn down
skeptic,مُشَكِّك,sceptic;doubter
substance,مَادَّة,center;subject matter;inwardness
substantially,بِشَكْلٍ كَبِير,well;considerably
ton,طُنّ,short ton;net ton;gross ton
transport,نَقْل,transmit;enthral;ecstasy
align,يُوَائِمُ,line up;adjust;array
authority,��ُلْطَة,bureau;sanction;assurance
barn,حَظِيرَة,b
betray,يَخُونُ,shop;rat;cheat on
Bible,الْكِتَابُ الْمُقَدَّس,Christian Bible;Holy Scripture;Word of God
Catholic,كَاثُولِيكِيّ,catholic
cooperate,يَتَعَاوَنُ,get together;join forces;collaborate
detain,يَحْتَجِزُ,confine;delay;hold up
exit,مَخْرَج,release;drop dead;perish
exceptional,اسْتِثْنَائِيّ,exceeding;olympian;particular
flee,يَفِرُّ,fly;take flight
network,شَبَكَة,meshwork;electronic network;meshing
outrage,يُغْضِبُ,dishonour;scandalise;dishonor
parish,أَبْرَشِيَّة,parish
passage,مَمَرّ,enactment;transition;transit
pastor,قِسِّيس,rector;parson;Pastor
patrol,دَوْرِيَّة,police
raid,يُغِيرُ,maraud;foray into;foray
rail,سِكَّةٌ حَدِيدِيَّة,track;rail off;inveigh
tunnel,نَفَق,burrow
comfortable,مُرِيح,well-to-do;comfy;well-fixed
education,تَعْلِيم,Education;didactics;pedagogy
encouragement,تَشْجِيع,boost
endorse,يُؤَيِّدُ,back;plump for;second
equal,مُتَسَاوٍ,adequate;touch;peer
face,يُوَاجِهُ,face up;side;cheek
field,مَجَال,subject;study;domain
foster,يُعَزِّزُ,nurture;further;Foster
guidance,تَوْجِيه,counselling;steering;counseling
hold,يَحْمِلُ,moderate;harbor;book
inclusion,إِدْمَاج,inclusion body;comprehension;cellular inclusion
inspire,يُلْهِمُ,prompt;barrack;urge on
mere,مُجَرَّد,bare;simple
position,مَنْصِب,put;situation;side
power,قُوَّة,business leader;top executive;magnate
responsibility,مَسْؤُولِيَّة,responsibleness;duty;province
soar,يُحَلِّقُ,sailplane;hang glide;soar up
tool,أَدَاة,tool around;cock;shaft
vocal,صَوْتِيّ,vocal music;outspoken;song
workplace,مَكَانُ الْعَمَل,work
academic,أَكَادِيمِيّ,pedantic;donnish;faculty member
acceptance,قُبُول,espousal;credence;sufferance
array,مَجْمُوعَة,regalia;raiment;range
blur,يَطْمِسُ,obnubilate;film over;slur
café,مَقْهًى,café
canvas,لَوْحَة,poll;sheet;study
cinema,سِينَمَا,movie house;celluloid;picture palace
class,طَبَقَة,course of instruction;separate;sort
distinctive,مُمَيَّز,typical;classifiable
key,رَئِيسِيّ,distinguish;name;samara
movement,حَرَكَة,crusade;drift;apparent motion
practice,مُمَارَسَة,praxis;pattern;exercise
realistic,وَاقِعِيّ,naturalistic
reflection,انْعِكَاس,thoughtfulness;expression;manifestation
rule,قَاعِدَة,reign;principle;formula
stroke,لَمْسَة,fortuity;cerebrovascular accident;chance event
sunlight,ضَوْءُ الشَّمْس,sunshine;sun
traditional,تَقْلِيدِيّ,traditional
unlike,عَلَى عَكْس,dissimilar;different
width,عَرْض,breadth
anthem,نَشِيد,hymn
beyond,وَرَاءَ,beyond
determination,عَزِيمَة,conclusion;purpose;decision
fighting,قِتَال,crusade;agitate;fight back
joint,مُشْتَرَك,marijuana cigarette;join;junction
landing,هُبُوط,bring down;landing place;shoot down
mark,يُمَيِّزُ,distinguish;bull's eye;label
mobilize,يُعَبِّئُ,circulate;call up;rally
nation,أُمَّة,res publica;state;land
originally,أَصْلًا,primitively;in the first place;earlier
outbreak,انْتِشَار,eruption;irruption
pray,يُصَلِّي,implore;beg
prisoner,سَجِين,captive
sacrifice,يُضَحِّي,forfeiture;ritual killing;give
silence,صَمْت,hush up;shut up;still
thus,بِالتَّالِي,thence;olibanum;therefore
tribute,تَكْرِيم,protection;testimonial
victory,نَصْر,triumph
wild,بَرِّيّ,wilderness;barbaric;uncivilized
wound,يَجْرَحُ,wrap;wind;meander
assimilate,يَسْتَوْعِبُ,take in;absorb;imbibe
attempt,مُحَاوَلَة,try;endeavor;seek
case,حَالَة,subject;compositor's case;example
cease,يَتَوَقَّفُ,end;terminate;give up
danger,خَطَر,risk;peril
devastating,مُدَمِّر,crushing;scourge;devastate
diversity,تَنَوُّع,variety;multifariousness;diverseness
earthquake,زِلْزَال,quake;temblor;seism
endangered,مُهَدَّدٌ بِالِانْقِرَاض,peril;imperil;threaten
extinction,انْقِرَاض,extinguishing;experimental extinction;extermination
forever,إِلَى الْأَبَد,eternally;always;incessantly
generally,عُمُومًا,mostly;broadly speaking;in the main
genocide,إِبَادَةٌ جَمَاعِيَّة,racial extermination;race murder
hit,يَضْرِبُ,arrive at;shoot;murder
lose,يَفْقِدُ,fall behind;suffer;miss
native,أَصْلِيّ,aborigine;aboriginal;indigen
percent,نِسْبَةٌ مِئَوِيَّة,percentage;pct;per centum
reason,سَبَب,rationality;argue;reason out
reference,مَرْجِع,reference point;point of reference;consultation
urban,حَضَرِيّ,urban
burn,يَحْرِقُ,burn up;burning;sting
check,يَتَحَقَّقُ,moderate;bank check;checkout
coconut,جَوْزُ الْهِنْد,Cocos nucifera;coco palm;coconut meat
epilepsy,صَرْع,epilepsy
fat,دُهْن,fatty;plump out;fatten
gain,يَكْسِبُ,hit;arrive at;reach
glucose,جُلُوكُوز,glucose
high,مُرْتَفِع,high school;heights;gamy
keep,يُحَافِظُ,celebrate;keep on;living
known,مَعْرُوف,screw;have it away;do it
liver,كَبِد,liver-colored
low,مُنْخَفِض,first;miserable;low-down
management,إِدَارَة,direction
metabolic,أَيْضِيّ,metabolous
oil,زَيْت,vegetable oil;anoint;rock oil
olive,زَيْتُون,Olea europaea;European olive tree
performance,أَدَاء,execution;functioning;operation
powerful,قَوِيّ,hefty;muscular;right
starch,نَشَا,amylum
summary,مُلَخَّص,drumhead;compendious;sum-up
analytic,تَحْلِيلِيّ,uninflected;analytical
area,مِنْطَقَة,orbit;sphere;domain
bachelor,أَعْزَب,bach;knight bachelor;bachelor-at-arms
cognitive,إِدْرَاكِيّ,cognitive
collision,اصْطِدَام,hit
competent,كُفْء,competent
diploma,شَهَادَة,sheepskin
excel,يَتَفَوَّقُ,surpass;stand out
geology,جِيُولُوجْيَا,geology
integral,جُزْءٌ لَا يَتَجَزَّأُ,inbuilt;intact;constitutional
intellect,عَقْل,reason;mind;intellectual
job,وَظِيفَة,problem;caper;task
keen,حَرِيص,nifty;neat;piercing
minimum,أَدْنَى,minimal;lower limit
psychology,عِلْمُ النَّفْس,psychological science
radioactive,مُشِعّ,radioactive
relativity,نِسْبِيَّة,Einstein's theory of relativity;relativity theory;theory of relativity
sociology,عِلْمُ الِاجْتِمَاع,sociology
theoretical,نَظَرِيّ,theoretic
weak,ضَعِيف,decrepit;infirm;watery
administrator,مُدِير,decision maker;executive
affluent,ثَرِيّ,tributary;loaded;confluent
audit,يُدَقِّقُ,inspect;scrutinize;audited account
automate,يُؤَتْمِتُ,automatise;automatize
bribe,يَرْشُو,grease one's palms;corrupt;payoff
corrupt,فَاسِد,sully;subvert;crooked
dispose,يَتَخَلَّصُ مِنْ,cast away;put away;throw away
headquarters,مَقَرٌّ رَئِيسِيّ,headquarter;home office;home base
incentive,حَافِز,inducement;bonus;motivator
infrastructure,بُنْيَةٌ تَحْتِيَّة,base;substructure
legislate,يُشَرِّعُ,pass
legitimate,شَرْعِيّ,legitimatize;legitimatise;logical
manipulate,يَتَلَاعَبُ,pull strings;fudge;wangle
merchandise,بِضَائِع,product;trade;ware
retail,تَجْزِئَة,retail
revenue,إِيرَادَات,gross;taxation;tax revenue
rubbish,قُمَامَة,scrap;trumpery;wish-wash
subsidy,إِعَانَة,subsidy
transaction,صَفْقَة,dealing;dealings
violate,يَنْتَهِكُ,rape;dishonour;despoil
assess,يُقَيِّمُ,measure;tax;value
astonish,يُدْهِشُ,amaze;astound
commence,يَبْدَأُ,start;begin;lead off
essence,جَوْهَر,center;inwardness;centre
extract,يَسْتَخْرِجُ,distil;excerption;distill
fabulous,رَائِع,mythologic;mythological;mythical
haste,عَجَلَة,precipitation;hurry;hurriedness
impulse,دَافِع,whim;neural impulse;momentum
inhibit,يُثَبِّطُ,subdue;conquer;curb
latter,أَخِير,latter
molecule,جُزَيْء,mote;speck;corpuscle
ongoing,مُسْتَمِرّ,on-going
precise,دَقِيق,exact;accurate
proximity,قُرْب,law of proximity;propinquity
publicity,دِعَايَة,promotion;packaging;promotional material
remedy,عِلَاج,redress;relieve;amend
significance,أَهَمِّيَّة,import;signification;meaning
subsequent,لَاحِق,subsequent
synthetic,اصْطِنَاعِيّ,celluloid;synthetical;synthetic substance
terminal,نِهَائِيّ,last;end;concluding
acute,حَادّ,intense;acuate;piercing
aggression,عُدْوَان,aggressiveness;hostility
biography,سِيرَةٌ ذَاتِيَّة,life;life history;life story
boost,يُعَزِّزُ,further;rise;hike up
clap,يُصَفِّقُ,clack;acclaim;bam
classical,كْلَاسِيكِيّ,serious music;authoritative;classical music
compel,يُجْبِرُ,oblige;obligate
creation,خَلْق,innovation;world;cosmos
dominance,هَيْمَنَة,ascendence;laterality;authority
gorgeous,رَائِع,gorgeous
inevitable,حَتْمِيّ,inevitable
legacy,إِرْث,bequest
masterpiece,تُحْفَة,chef-d'oeuvre
multiple,مُتَعَدِّد,multiple
narrate,يَرْ��ِي,recite;tell;recount
notorious,سَيِّئُ السُّمْعَة,ill-famed;infamous
overall,إِجْمَالِيّ,boilers suit;boilersuit
partiality,تَحَيُّز,fondness;fancy;partisanship
spontaneous,عَفَوِيّ,ad-lib;self-generated;unwritten
virtue,فَضِيلَة,virtuousness;merit;sexual morality
aspect,جَانِب,prospect;expression;face
asset,أَصْل,plus
assignment,مُهِمَّة,designation;grant;assigning
awareness,وَعْي,sentience;consciousness;cognisance
bud,بُرْعُم,bud
coordinate,يُنَسِّقُ,co-ordinate;ordinate;organize
credit,رَصِيد,course credit;credit rating;credit entry
disprove,يُدْحِضُ,confute
humanitarian,إِنْسَانِيّ,improver;human-centered;humanistic
hypothesis,فَرَضِيَّة,surmisal;supposition;possibility
informative,مُفِيد,instructive;enlightening;informatory
optic,بَصَرِيّ,visual;eye;opthalmic
premise,مُقَدِّمَة,precede;premiss;introduce
rack,رَفّ,squeeze;wheel;torment
Renaissance,عَصْرُ النَّهْضَة,rebirth;Renascence
spatial,مَكَانِيّ,spacial
specify,يُحَدِّدُ,specialize;define;particularize
tie,يَرْبُطُ,link;standoff;necktie
undertake,يَتَعَهَّدُ,tackle;attempt;guarantee
wax,شَمْع,rise;mount;climb
addict,مُدْمِن,junkie;freak;nut
archeological,أَثَرِيّ,archaeologic;archeologic;archaeological
archeology,عِلْمُ الْآثَار,archaeology
brainstorm,يَسْتَمْطِرُ الْأَفْكَار,insight;brainwave
budget,مِيزَانِيَّة,budget
chaotic,فَوْضَوِيّ,helter-skelter;disorderly
cite,يَسْتَشْهِدُ,advert;name;adduce
correspond,يَتَوَافَقُ,jibe;check;fit
courtyard,فِنَاء,court
estate,عَقَار,demesne;acres;land
fraud,احْتِيَال,pseud;pretender;put-on
hydrogen,هِيدْرُوجِين,atomic number 1;H
integrity,نَزَاهَة,wholeness;unity
outlook,نَظْرَة,prospect;mindset;lookout
parachute,مِظَلَّة,jump;chute
prehistoric,قَبْلَ التَّارِيخ,prehistorical
proponent,مُؤَيِّد,advocate;exponent;advocator
refine,يُحَسِّنُ,down;fine-tune;polish
restrict,يُقَيِّدُ,cut back;restrain;bound
team,فَرِيق,squad;team up
aggregate,إِجْمَالِيّ,congeries;aggregative;conglomeration
antibiotic,مُضَادٌّ حَيَوِيّ,antibiotic drug
circuit,دَائِرَةٌ كَهْرَبَائِيَّة,racing circuit;circle;electric circuit
complement,يُكَمِّلُ,accompaniment;full complement
compress,يَضْغَطُ,squeeze;pack together;constrict
database,قَاعِدَةُ بَيَانَات,database
equivalent,مُكَافِئ,combining weight;equivalent weight;tantamount
immune,مَحْصُور,resistant
input,مُدْخَل,comment;stimulant;input signal
intimate,حَمِيم,confidant;insinuate;informal
magnet,مِغْنَاطِيس,attracter;attractive feature;attraction
metabolism,أَيْض,metamorphosis;metabolic process
microchip,رُقَاقَةٌ دَقِيقَة,chip;micro chip;silicon chip
phase,مَرْحَلَة,form;stage;phase angle
pinch,يَقْرُصُ,snarf;apprehension;nip
prevalent,سَائِد,predominant;prevailing;dominant
quantum,كَمِّيّ,quantum
ratio,نِسْبَة,proportion
spiral,لَوْلَبِيّ,voluted;coil;whorled
viral,فَيْرُوسِيّ,viral
acid,حِمْض,acrid;blistering;back breaker
administration,إِدَارَة,governance;establishment;governing body
administrative,إِدَارِيّ,administrative
biotechnology,تِقْنِيَةٌ حَيَوِيَّة,bioengineering;ergonomics;biotech
cholesterol,كُولِيسْتِرُول,cholesterin
coalition,ائْتِلَاف,conglutination;coalescency;concretion
deceptive,خَادِع,shoddy;delusory;misleading
diabetes,مَرَضُ السُّكَّرِيّ,diabetes
eliminate,يُزِيلُ,reject;rule out;obviate
erosion,تَعْرِيَة,eroding;wearing;corrosion
ethics,أَخْلَاق,morals;morality;moral principle
explicit,صَرِيح,expressed;denotative
framework,إِطَار,model;theoretical account;fabric
manufacture,يُصَنِّعُ,construct;invent;fabrication
mechanism,آلِيَّة,mechanics;chemical mechanism
minimize,يُقَلِّلُ,understate;minimise;downplay
nectar,رَحِيق,ambrosia
notion,فِكْرَة,opinion;whim;impression
regime,نِظَام,authorities;government;regimen
straightforward,مُبَاشِر,aboveboard;straight;square
bankrupt,مُفْلِس,ruin;insolvent;break
conform,يَمْتَثِلُ,adapt;adjust
employ,يُوَظِّفُ,utilise;hire;utilize
expel,يَطْرُd,rout out;rout;release
extension,تَمْدِيد,prolongation;file name extension;telephone extension
forthcoming,قَادِم,coming;upcoming;outgoing
furnish,يُؤَثِّثُ,render;provide;supply
hygiene,نَظَافَة,hygienics
hygienic,صِحِّيّ,hygienical
landlord,مَالِكُ الْعَقَار,landlord
lease,يَسْتَأْجِرُ,rent;term of a contract;hire
mandatory,إِلْزَامِيّ,required;compulsory;mandatary
mend,يُصْلِحُ,bushel;touch on;doctor
mortgage,رَهْنٌ عَقَارِيّ,mortgage
personnel,شُؤُونُ الْمُوَظَّفِين,force;staff office;personnel office
plumbing,سِبَاكَة,plumbing system;bathymetry;plumbery
quote,اقْتِبَاس,quotation mark;inverted comma;cite
tenant,مُسْتَأْجِر,renter
utility,مَنْفَعَة,public utility;utility program;service program
whereby,بِمُوجِبِهِ,whereby
adapt,يَتَكَيَّفُ,adjust;conform;accommodate
biological,بَيُولُوجِيّ,biologic
cellular,خَلَوِيّ,cellular
dynamic,دِينَامِيكِيّ,dynamical;active;moral force
fantasy,خَيَال,fantasise;fantasize;illusion
heredity,وِرَاثَة,genetic endowment
internal,دَاخِلِيّ,inner;intimate;home
minimal,أَدْنَى,minimum
pioneer,رَائِد,groundbreaker;trailblazer;open up
prescribe,يَصِفُ,order;dictate
respective,خَاصّ,several;various
rigid,صَارِم,strict;unbending;set
sequence,تَسَلْسُل,successiveness;chronological sequence;chronological succession
similar,مُمَاثِل,standardized;like;exchangeable
substitute,يَسْتَبْدِلُ,replacement;reserve;deputise
surgeon,جَرَّاح,operating surgeon;sawbones
therapy,عِلَاج,therapy
transfer,يَنْقُلُ,transmit;transport;carry-over
transition,انْتِقَال,modulation;changeover;passage
transplant,زِرَاعَة,graft;transplanting;transfer
astrology,تَنْجِيم,star divination
couple,زَوْج,pair;copulate;twin
deviate,يَنْحَرِفُ,deviant;diverge;depart
differentiate,يُمَيِّزُ,distinguish;secern;separate
disrupt,يُعَطِّلُ,break up;interrupt;cut off
equation,مُعَادَلَة,equating;par;equivalence
err,يُخْطِئُ,drift;mistake;slip
erroneous,خَاطِئ,erroneous
frantic,مَذْعُور,frenetic;excited;phrenetic
inadvertent,غَيْرُ مُتَعَمَّد,accidental
improvise,يَرْتَجِل��,ad-lib;extemporise;extemporize
latitude,خَطُّ الْعَرْض,parallel of latitude;line of latitude;parallel
mariner,بَحَّار,tar;seafarer;Jack
multitude,حَشْد,people;concourse;masses
nuisance,إِزْعَاج,pain;pain in the neck
permanence,دَوَام,permanency
revolve,يَدُورُ,orbit;roll;rotate
soothe,يُهَدِّئُ,console;comfort;solace
stranded,عَالِق,marooned;ground;maroon
technique,تِقْنِيَة,proficiency
absurd,سَخِيف,ludicrous;preposterous;laughable
aristocracy,أَرِسْتُقْرَاطِيَّة,nobility;gentry
aristocrat,أَرِسْتُقْرَاطِيّ,patrician;blue blood
attire,زِيّ,fig out;trick out;tog up
craze,هَوَس,rage;hysteria;cult
denote,يُشِيرُ إِلَى,refer;announce
enlarge,يُكَبِّرُ,exposit;expand;magnify
excess,فَائِض,inordinateness;nimiety;surplus
feminine,أُنْثَوِيّ,womanly
hierarchy,تَسَلْسُلٌ هَرَمِيّ,pecking order;power structure
pad,وَسَادَة,domiciliation;lodgings;launching pad
partner,شَرِيك,spouse;married person;mate
predominant,سَائِد,overriding;prevalent;prevailing
protocol,بُرُوتُوكُول,communications protocol
reputable,ذُو سُمْعَةٍ طَيِّبَة,reputable
signify,يَدُلُّ عَلَى,stand for;mean;intend
strap,حِزَام,lash;welt;trounce
style,أُسْلُوب,elan;fashion;expressive style
tangle,تَشَابُك,snarl;drag in;mat
vanity,غُرُور,dresser;amour propre;emptiness
ashore,إِلَى الشَّاطِئ,ashore
contradict,يُنَاقِضُ,belie;controvert;oppose
counterpart,نَظِير,opposite number;similitude;vis-a-vis
devoid,خَالٍ مِنْ,destitute;barren;innocent
diverge,يَتَفَرَّعُ,deviate;vary;depart
embryo,جَنِين,fertilized egg;conceptus
finally,أَخِيرًا,ultimately;at long last;last
gazette,صَحِيفَة,gazette
homogeneous,مُتَجَانِس,homogenous
individual,فَرْد,person;private;single
major,رَئِيسِيّ,John Roy Major;John Major;John R. Major
obstruct,يُعِيقُ,obturate;blockade;embarrass
plunge,يَغُوصُ,douse;absorb;steep
prolong,يُطِيلُ,sustain;draw out;extend
publicize,يُعْلِنُ,publicise;advertise;bare
surplus,فَائِض,nimiety;supernumerary;supererogatory
survive,يَنْجُو,exist;last;live on
theorize,يُقَدِّمُ نَظَر��يَّة,hypothesize;theorise;hypothesise
verify,يَتَحَقَّقُ,swear;assert;affirm
vigorous,قَوِيّ,vigorous
altar,مَذْبَح,Lord's table;communion table
arthritis,الْتِهَابُ الْمَفَاصِل,arthritis
botany,عِلْمُ النَّبَات,phytology;vegetation;flora
credible,ذُو مِصْدَاقِيَّة,believable
deceased,مُتَوَفًّى,snuff it;drop dead;perish
deception,خِدَاع,trick;misrepresentation;dissimulation
document,وَثِيقَة,written document;text file;papers
dung,رَوْث,muck;droppings
dusk,غَسَق,fall;twilight;crepuscule
gratify,يُرْضِي,satisfy;indulge;pander
hone,يَصْقُلُ,perfect
interpret,يُفَسِّرُ,render;construe;represent
motive,دَافِع,motif;motivation;need
pneumonia,الْتِهَابٌ رِئَوِيّ,pneumonia
psychic,رُوحِيّ,psychical
psychotic,ذُهَانِيّ,psychotic person;psycho
scope,نِطَاق,orbit;ambit;reach
sinister,شِرِّير,minacious;forbidding;ominous
strife,صِرَاع,discord
text,نَصّ,textbook;textual matter;text edition
artery,شِرْيَان,arterial blood vessel;arteria
deterioration,تَدَهْوُر,declension;impairment;decline in quality
elusive,مُرَاوِغ,knotty;baffling;problematical
ensure,يَضْمَنُ,ascertain;check;secure
induce,يُحَفِّزُ,induct;have;cause
inseparable,لَا يَنْفَصِلَانِ,inseparable
invalid,بَاطِل,shut-in;handicap;incapacitate
magnify,يُكَبِّرُ,hyperbolise;exaggerate;overstate
mainstream,تَيَّارٌ رَئِيسِيّ,mainstream
microbe,مَيْكُرُوب,germ;bug
minor,ثَانَوِيّ,fry;shaver;tiddler
negligible,لَا يُذْكَر,paltry;trifling
paralysis,شَلَل,palsy
pest,آفَة,pesterer;pestis;pestilence
prevail,يَسُودُ,hold;run;obtain
pursuit,سَعْي,chase;by-line;pursual
rupture,تَمَزُّق,tear;break;rift
savage,وَحْشِيّ,barbaric;uncivilized;wild
stun,يُذْهِلُ,sandbag;daze;bedaze
susceptible,عُرْضَةٌ لِ,susceptible
advocate,يُدَافِعُ عَنْ,advocator;proponent;counselor
albeit,وَإِنْ كَانَ,albeit
authorize,يُفَوِّضُ,empower;clear;authorise
civilian,مَدَنِيّ,civilian
commodity,سِلْعَة,good;trade good
communicate,يَتَوَاصَلُ,transmit;pass along;commune
conquest,فَتْح,seduction;subjection;subjugation
disclose,يَكْشِفُ,break;give away;divulge
dynamics,دِينَامِيكِيَّات,kinetics;dynamic;moral force
enroll,يُسَجِّلُ,enter;recruit;inscribe
envious,حَسُود,covetous;jealous
festive,احْتِفَالِيّ,gay;festal;merry
indicate,يُشِيرُ,bespeak;argue;betoken
lentil,عَدَس,Lens culinaris;lentil plant
marshal,يُنَظِّمُ,marshall;mobilise;mobilize
morale,مَعْنَوِيَّات,esprit de corps;team spirit
mood,مِزَاج,humour;humor;modality
prophecy,نُبُوءَة,divination;vaticination;prognostication
senate,مَجْلِسُ الشُّيُوخ,United States Senate;U.S. Senate;US Senate
unrest,اضْطِرَاب,agitation;fermentation;tempestuousness
certify,يُصَادِقُ,endorse;manifest;evidence
coherent,مُتَمَاسِك,ordered;logical;consistent
collaborate,يَتَعَاوَنُ,get together;join forces;cooperate
compile,يُجَمِّعُ,amass;hoard;pile up
curb,يَكْبَحُ,moderate;kerb;AMEX
diagnose,يُشَخِّصُ,name
enact,يَسُنُّ,act out;ordain;reenact
federation,اتِّحَاد,confederacy;confederation
gross,إِجْمَالِيّ,staring;perfect;receipts
humane,إِنْسَانِيّ,humanist;humanistic
needy,مُحْتَاج,destitute;impoverished;indigent
onset,بِدَايَة,oncoming;onrush;onslaught
pledge,يَتَعَهَّدُ,plight;drink;assurance
prohibit,يَمْنَعُ,veto;interdict;disallow
render,يُقَدِّمُ,turn in;return;show
smallpox,جُدَرِيّ,variola;variola major
transform,يُحَوِّلُ,transubstantiate;transmute;translate
transmit,يَنْقُلُ,broadcast;transport;beam
vow,يَتَعَهَّدُ,consecrate
widespread,وَاسِعُ الِانْتِشَار,far-flung
adhere,يَلْتَزِمُ,cleave;hold fast;cling
administer,يُدِيرُ,deal out;parcel out;lot
compassionate,مُتَعَاطِف,sympathize with;pity;condole with
contaminate,يُلَوِّثُ,foul;pollute
deficiency,نَقْص,lack;inadequacy;want
emphasis,تَأْكِيد,stress;vehemence;accent
epidemic,وَبَاء,epidemic
hazard,خَطَر,peril;stake;endangerment
imperative,حَتْمِيّ,imperative mood;imperative form;jussive mood
intestines,أَمْعَاء,intestine;bowel;gut
manifest,يُظْهِرُ,patent;evidence;evident
overcrowded,مُكْتَظّ,overcrowd
practitioner,مُمَارِس,practician
provision,تَزْوِيد,supplying;planning;preparation
replenish,يُجَدِّدُ,fill again;refill
reverse,يَعْكِسُ,contrary;turnaround;reverse gear
sterile,مُعَقَّم,unfertile;aseptic;unimaginative
upgrade,يُرَقِّي,rising slope;ascent;kick upstairs
viable,قَابِلٌ لِلْحَيَاة,workable;practicable;feasible
voluntary,طَوْعِيّ,military volunteer;volunteer
airway,مَجْرَى الْهَوَاء,respiratory tract;air duct;airline business
Almighty,الْقَدِير,Jehovah;Divine;Maker
advent,مَجِيء,coming;Second Advent;Second Coming
cycle,دَوْرَة,wheel;hertz;cps
definitive,نِهَائِيّ,classical;authoritative;unequivocal
equate,يُسَاوِي,correspond;equalize;liken
found,يُؤَسِّسُ,institute;constitute;retrieve
ideology,أَيْدِيُولُوجِيَّة,political theory;political orientation
inhale,يَسْتَنْشِقُ,breathe in;inspire
invoke,يَسْتَدْعِي,call down;put forward;stir
lunar,قَمَرِيّ,lunar
novelty,جِدَّة,bangle;fallal;freshness
outmoded,عَفَا عَلَيْهِ الزَّمَن,passe;antique;outmode
personalize,يُخَصِّصُ,individualize;personalise;individualise
psychiatric,طِبِّيٌّ نَفْسِيّ,psychiatrical
psychiatry,طِبٌّ نَفْسِيّ,psychopathology;psychological medicine
reflex,رَدُّ فِعْلٍ مُنْعَكَس,reflex action;reflexive;inborn reflex
seizure,نَوْبَة,capture;raptus;gaining control
session,جَلْسَة,academic session;academic term;seance
utensil,أَدَاة,utensil
allocate,يُخَصِّصُ,apportion
appetizing,شَهِيّ,appetising
assign,يُعَيِّنُ,put;set apart;portion
cavity,تَجْوِيف,dental caries;caries;tooth decay
clockwise,بِاتِّجَاهِ عَقَارِبِ السَّاعَة,clockwise
concentric,مُتَّحِدُ الْمَرْكَز,homocentric;concentrical
courtesy,لُطْف,good manners
crisp,مُقَرْمَش,potato chip;frizzly;terse
discord,خِلَاف,strife;disagree;dissension
generate,يُوَلِّدُ,render;mother;return
item,عُنْصُر,token;particular;detail
interchange,تَبَادُل,change;counterchange;flip
multicultural,مُتَعَدِّدُ الثَّقَافَات,multicultural
omission,إِغْفَال,deletion;skip
oversee,يُشْرِفُ,superintend;manage;supervise
pierce,يَخْتَرِقُ,Pierce;President Pierce;thrust
select,يَخْتَارُ,choice;prize;prime
structure,هَيْكَل,social organisation;construction;social organization
visual,بَصَرِيّ,ocular;optical;optic
wavy,مُتَمَوِّج,rippled;crinkly;wavelike
conversion,تَحْوِيل,rebirth;transition;changeover
cram,يَحْشُو,ram;grind away;bone up
defer,يُؤَجِّلُ,postpone;remit;set back
export,يُصَدِّرُ,exportation
fume,دُخَان,smoke;reek;fumigate
habitual,مُعْتَاد,customary;wonted;accustomed
justify,يُبَرِّرُ,rationalize;apologize;vindicate
notwithstanding,عَلَى الرَّغْمِ مِنْ,nevertheless;nonetheless;all the same
output,إِنْتَاج,outturn;end product;output signal
overpopulation,اكْتِظَاظٌ سُكَّانِيّ,overpopulation
patent,بَرَاءَةُ اخْتِرَاع,manifest;evident;apparent
penalize,يُعَاقِبُ,penalise;punish
petroleum,نِفْط,rock oil;crude;oil
region,مِنْطَقَة,part;realm;area
scrap,خُرْدَة,argufy;fighting;junk
sector,قِطَاع,sphere
subscribe,يَشْتَرِكُ,pledge;support;sign
subsist,يَعِيشُ عَلَى الْكَفَاف,live;exist;survive
suspend,يُعَلِّقُ,freeze;set aside;debar
synthesis,تَرْكِيب,deductive reasoning;deduction;synthetic thinking
acrobat,بَهْلَوَان,acrobat
advocacy,مُنَاصَرَة,protagonism
communal,جَمَاعِيّ,communal
fluid,سَلِس,mobile;fluent;liquid
harmonize,يُنَسِّقُ,reconcile;concord;fit in
industrious,مُجْتَهِد,up-and-coming;energetic;hardworking
inventive,مُبْتَكِر,imaginative
Mandarin,لُغَةُ الْمَانْدَرِين,Citrus reticulata;mandarin orange tree;Mandarin dialect
metropolitan,حَضَرِيّ,metropolitan
mimic,يُقَلِّدُ,mime;mimicker
misguided,مُضَلَّل,misguide;ill-conceived;mistaken
rehearse,يَتَدَرَّبُ,practise;practice
resourceful,وَاسِعُ الْحِيلَة,resourceful
scorn,يَحْتَقِرُ,contemn;reject;freeze off
sensory,حِسِّيّ,receptive;sensorial;centripetal
statute,قَانُون,codified;legislative act
technical,تِقْنِيّ,technical foul;technological;proficient
veteran,مُخَضْرَم,seasoned;old stager;ex-serviceman
villain,شِرِّير,scoundrel;baddie
