agree,يُوَافِقُ
guardian,وَصِيّ
implicate,يُوَرِّطُ
kin,أَقَارِب
referee,حَكَم
sever,يَقْطَعُ
shaft,عَمُود
stab,يَطْعَنُ
stimulus,حَافِز
suspicion,شَكّ
terminate,يُنْهِي
theme,مَوْضُوع
tuition,رُسُوم دِرَاسِيَّة
aggressive,عُدْوَانِيّ
amnesty,عَفْو
arena,سَاحَة
auditorium,قَاعَة
captive,أَسِير
combat,قِتَال
commonplace,شَائِع
compound,مُرَكَّب
corps,فَيْلَق
distract,يُشَتِّتُ
dumb,أَبْ��َم
foe,عَدُوّ
hack,يَخْتَرِقُ
meditate,يَتَأَمَّلُ
nick,يَجْرَحُ
provoke,يَسْتَفِزُّ
realm,مَجَال
reign,عَهْد
rust,صَدَأ
sacred,مُقَدَّس
aesthetic,جَمَالِيّ
arrogant,مُتَكَبِّر
bias,تَحَيُّز
canyon,وَادٍ
creek,جَدْوَل
drill,مِثْقَاب
executive,تَنْفِيذِيّ
fatigue,إِرْهَاق
incline,مُنْحَدَر
nasty,سَيِّئ
perceive,يُدْرِكُ
primate,رَئِيسِيّ
primitive,بِدَائِيّ
stereotype,صُورَة نَمَطِيَّة
sticky,لَزِج
termite,نَمْل أَبْيَض
thereby,بِذَلِكَ
trail,مَمَرّ
twig,غُصَيْن
welfare,رَفَاهِيَة
behalf,بِالنِّيَابَةِ عَنْ
flap,يُرَفْرِفُ
glacier,نَهْر جَلِيدِيّ
globe,كُرَة أَرْضِيَّة
horizontal,أُفُقِيّ
hum,يُدَنْدِنُ
inventory,جَرْد
inward,دَاخِلِيّ
loaf,رَغِيف
oracle,وَحْي
orbit,يَدُورُ
overview,نَظْرَة عَامَّة
preview,مُعَايَنَة
previous,سَابِق
provide,يُوَفِّرُ
recur,يَتَكَرَّرُ
relevant,ذُو صِلَة
rite,طَقْس
stall,يَتَعَطَّلُ
supernatural,خَارِق لِلطَّ��ِيعَة
aquarium,حَوْضُ أَسْمَاك
arbitrary,اعْتِبَاطِيّ
autobiography,سِيرَة ذَاتِيَّة
convention,اتِّفَاقِيَّة
gracious,لَطِيف
improve,يُحَسِّنُ
insulate,يَعْزِلُ
intrigue,يُثِيرُ اهْتِمَام
longevity,طُولُ الْعُمْر
misplace,يُضَيِّعُ
naughty,شَقِيّ
norm,مِعْيَار
orangutan,إِنْسَانُ الْغَاب
overload,يُحَمِّلُ زِيَادَة
philanthropy,إِحْسَان
probe,يَسْبُرُ
recipient,مُسْتَلِم
reptile,زَاحِف
thrive,يَزْدَهِرُ
ultimate,نِهَائِيّ
antique,أَثَرِيّ
applicant,مُتَقَدِّم
artifact,أَثَر
authentic,أَصْلِيّ
chronology,تَسَلْسُل زَمَنِيّ
diplomat,دِبْلُومَاسِيّ
epic,مَلْحَمَة
excerpt,مُقْتَطَف
fossil,أُحْفُورَة
humiliate,يُذِلُّ
lyric,غِنَائِيّ
majesty,جَلَالَة
monarch,مَلِك
precede,يَسْبِقُ
punctual,دَقِيق
recruit,يُجَنِّدُ
refund,اسْتِرْدَاد
register,يُسَجِّلُ
renown,شُهْرَة
tusk,نَاب
coexist,يَتَعَايَشُ
conceive,يَتَصَوَّرُ
dubious,مَشْكُوك فِيهِ
ego,أَنَا
elastic,مَرِن
endeavor,مَسْعًى
engrave,يَنْقُشُ
excavate,يُنَقِّبُ
jagged,مُسَنَّن
locale,مَكَان
magnitude,حَجْم
mold,قَالَب
outright,صَرِيح
periphery,مُحِيط
plaster,جِصّ
shovel,مِجْرَفَة
skeletal,هَيْكَلِيّ
stumble,يَتَعَثَّرُ
thigh,فَخْذ
vicious,شَرِس
attic,عُلِّيَّة
chunk,قِطْعَة
civic,مَدَنِيّ
descent,هُبُوط
din,ضَجِيج
dissatisfy,لَا يُرْضِي
fuss,جَلَبَة
glamorous,فَاتِن
gourmet,ذَوَّاق
hence,بِالتَّالِي
intrinsic,جَوْهَرِيّ
kettle,غَلَّايَة
ministry,وِزَارَة
ordeal,مِحْنَة
outspoken,صَرِيح
overwork,إِرْهَاق
particular,مُعَيَّن
snore,يَشْخُرُ
soundly,بِعُمْق
superintendent,مُشْرِf
congested,مُزْدَحِم
courier,سَاعِي
deform,يُشَوِّهُ
etiquette,آدَاب
exclusive,حَصْرِيّ
freight,شَحْن
garment,ثَوْب
insomnia,أَرَق
intuitive,حَدْسِيّ
liable,مَسْؤُول
obsess,يُهَوِّسُ
overboard,مِنْ فَوْقِ السَّفِينَة
premium,قِسْط
privilege,امْتِيَاز
propel,يَدْفَعُ
socialize,يُخَالِطُ
suppress,يَقْمَ��ُ
tram,تْرَام
unsettle,يُقْلِقُ
warp,يَلْتَوِي
accumulate,يَتَرَاكَمُ
aerial,جَوِّيّ
apparatus,جِهَاز
avalanche,انْهِيَار ثَلْجِيّ
consistency,اتِّسَاق
discharge,يُصَرِّفُ
episode,حَلْقَة
intact,سَلِيم
mortal,فَانٍ
omen,فَأْل
overcast,غَائِم
poignant,مُؤَثِّر
ranger,حَارِس
rubble,أَنْقَاض
seclude,يَعْزِلُ
sideways,جَانِبِيًّا
sob,يَنْتَحِبُ
sober,صَاحٍ
speck,بُقْعَة
upbringing,تَرْبِيَة
bliss,نَعِيم
butler,كَبِيرُ الْخَدَم
cramp,تَشَنُّج
decorate,يُزَيِّنُ
dilapidated,مُتَهَدِّم
evoke,يَسْتَحْضِرُ
farewell,وَدَاع
faucet,صُنْبُور
filth,قَذَارَة
flaw,عَيْب
grin,يَبْتَسِمُ
housekeeping,تَدْبِير مَنْزِلِيّ
mound,تَلّ
numb,مُخَدَّر
reckless,مُتَهَوِّر
slate,أَرْدُوَاز
stool,مَقْعَد
testament,وَصِيَّة
timber,خَشَب
valve,صِمَام
camouflage,تَمْوِيه
confront,يُوَاجِهُ
contemplate,يَتَأَمَّلُ
contend,يُنَافِسُ
cot,سَرِير
enlist,يُجَنِّدُ
frontier,حُدُود
guerilla,مُقَاتِل
handbook,كُتَيِّب
hesitant,مُتَرَدِّد
lush,مُورِق
outfit,زِيّ
paw,مِخْلَب
splendid,رَائِع
stray,يَضِلُّ
substantial,جَوْهَرِيّ
torch,شُعْلَة
tract,مَسَاحَة
vigil,سَهَر
weary,مُتْعَب
amid,وَسَط
backstage,خَلْفَ الْكَوَالِيس
billionaire,مِلْيَارْدِير
brute,وَحْش
clumsy,أَخْرَق
collide,يَصْطَدِمُ
culprit,مُذْنِب
evacuate,يُجْلِي
flammable,قَابِل لِلِاشْتِعَال
mob,غَوْغَاء
premature,سَابِق لِأَوَانِهِ
resent,يَسْتَاءُ
satire,هِجَاء
scrutiny,فَحْص
segregate,يَفْصِلُ
subject,أَخْضَعَ لِ
testify,يَشْهَدُ
tumult,ضَجَّة
underestimate,يَسْتَخِفُّ
uproar,ضَجَّة
accelerate,يُسَرِّعُ
anew,مِنْ جَدِيد
defect,عَيْب
dreary,كَئِيب
duplicate,يُنْسَخُ
electromagnetic,كَهْرُومِغْنَاطِيسِيّ
electron,إِلِكْتِرُون
glide,يَنْزَلِقُ
ingenious,بَارِع
innovation,ابْتِكَار
innovative,مُبْتَكِر
launch,يُطْلِقُ
meteorological,أَرْصَاد جَوِّيَّة
meteorology,عِلْمُ الْأَرْصَاد الْجَوِّيَّة
penetrate,يَخْتَرِقُ
persistent,مُثَابِر
propulsion,دَفْع
simulate,يُحَاكِي
spur,يَحْفِزُ
stimulate,يُحَفِّزُ
beforehand,مُقَدَّمًا
blurred,مُشَوَّش
centigrade,مِئَوِيّ
chatter,يُثَرْثِرُ
concerto,كُونْشِرْتُو
condense,يُكَثِّفُ
deteriorate,يَتَدَهْوَرُ
degree,دَرَجَة
exterior,خَارِجِيّ
hearty,قَلْبِيّ
hospitable,مِضْيَاف
humor,فُكَاهَة
manor,قَصْر
monastery,دَيْر
nursery,حَضَانَة
outstretched,مَمْدُود
parcel,طَرْد
profile,مَلَفّ شَخْصِيّ
winding,مُتَعَرِّج
zip,يُغْلِقُ بِسَحَّاب
abolish,يُلْغِي
amend,يُعَدِّلُ
aspire,يَطْمَحُ
censor,يُرَاقِبُ
charter,مِيثَاق
constitution,دُسْتُور
cosmopolitan,عَالَمِيّ
disseminate,يَنْشُرُ
flatter,يُطْرِي
infamous,سَيِّئُ السُّمْعَة
lame,أَعْرَج
limp,يَعْرُجُ
outburst,انْفِجَار
pathological,مَرَضِيّ
phenomenal,هَائِل
poll,اسْتِطْلَاع
remorse,نَدَم
secrecy,سِرِّيَّة
tackle,يُعَالِجُ
trance,غَيْبُوبَة
coward,جَبَان
delete,يَح��ذِفُ
earnest,جَادّ
ethnic,عِرْقِيّ
exclude,يَسْتَبْعِدُ
firsthand,مُبَاشِر
fluent,طَلِيق
imperial,إِمْبَرَاطُورِيّ
inclusive,شَامِل
legislature,هَيْئَة تَشْرِيعِيَّة
linguistic,لُغَوِيّ
monolingual,أُحَادِيُّ اللُّغَة
nationality,جِنْسِيَّة
patriot,وَطَنِيّ
prosecute,يُقَاضِي
racial,عُنْصُرِيّ
solemn,وَقُور
solidarity,تَضَامُن
tact,لَبَاقَة
undermine,يُقَوِّضُ
constrain,يُقَيِّدُ
depot,مُسْتَوْدَع
emulate,يُحَاكِي
forefinger,سَبَّابَة
guts,أَمْعَاء
inherent,مُتَأَصِّل
intimidate,يُخَوِّفُ
janitor,بَوَّاب
moist,رَطْب
nope,لَا
prod,يَحُثُّ
ransom,فِدْيَة
restrain,يَكْبَحُ
saliva,لُعَاب
spit,يَبْصُقُ
sprint,يَرْكُضُ
stunt,حَرَكَة بَهْلَوَانِيَّة
tolerant,مُتَسَامِح
vampire,مَصَّاصُ دِمَاء
yawn,يَتَثَاءَبُ
adjoining,مُجَاوِر
allege,يَدَّعِي
arch,قَوْس
assemble,يُجَمِّعُ
casualty,ضَحِيَّة
erect,يُقِيمُ
foul,كَرِيه
hectare,هِكْتَار
heighten,يُصَعِّدُ
hospitality,ضِيَافَة
mansion,قَصْر
outnumber,يَفُوقُ عَدَدًا
overjoyed,مَسْرُور
pasture,مَرْعًى
petition,الْتِمَاس
renovate,يُجَدِّدُ
revise,يُرَاجِعُ
slab,لَوْح
terrace,شُرْفَة
turf,عُشْب
analogous,مُمَاثِل
binoculars,مِنْظَار
bulk,حَجْم
comprise,يَشْمَلُ
depict,يُصَوِّرُ
dual,مُزْدَوَج
Fahrenheit,فَهْرَنْهَايْت
fulfill,يُحَقِّقُ
grove,بُسْتَان
ore,خَام
outback,الْبَرِّيَّة
outweigh,يَفُوقُ
paradox,مُفَارَقَة
pier,رَصِيف
shortcut,اخْتِصَار
tariff,تَعْرِفَة
thermometer,مِيزَانُ حَرَارَة
tilt,يَمِيلُ
vice versa,وَالْعَكْسُ بِالْعَكْس
whereabouts,مَكَانُ وُجُود
